segment_id,street,from_street,to_street,start_latitude,start_longitude,end_latitude,end_longitude
704,Dr Martin L King Jr,83rd,87th,41.7438113955,-87.6149257801,41.7365015302,-87.6146742766
205,North,Kedzie,Central Park,41.9102525328,-87.706959124,41.9101313576,-87.7166993605
156,Ashland,North Ave,Milwaukee,41.9106313534,-87.6678753006,41.904018258,-87.6676967823
702,Dr Martin L King Jr,91st,95th,41.7291923898,-87.6145559778,41.7218576767,-87.6143380874
825,Milwaukee,Lawrence,Foster,41.9678434988,-87.7605911887,41.975654244,-87.7675546457
245,Archer,Harlem,Oak Park,41.7918096469,-87.8015504112,41.7920189692,-87.7915770975
1050,Warren,Ashland,Ogden,41.8822417003,-87.6668391286,41.8826899771,-87.664672601
323,North,Austin,Central,41.9091254301,-87.7756166957,41.9092415237,-87.7657253832
56,Pulaski,Foster,Bryn Mawr,41.9755310394,-87.7280495172,41.9828305605,-87.7283177717
542,Cermak,Halsted,Stewart,41.8525453728,-87.6464628758,41.8526856713,-87.6369279083
872,LaSalle,Grand,Chicago,41.8915995768,-87.6323743203,41.8966118812,-87.6325348871
605,Lake Shore Dr,51st,55th,41.8027405099,-87.5817584885,41.7952204517,-87.5793749691
887,Lake Shore Dr,55th,51st,41.7952180444,-87.5790082777,41.8027381099,-87.5813917503
960,Ontario,Fairbanks,Michigan,41.8934286118,-87.6202858565,41.8933239978,-87.6242206362
225,Roosevelt,Racine,Halsted,41.8668594116,-87.6566826727,41.8670168965,-87.6469198175
636,Cicero,55th,59th,41.7930370853,-87.7421614891,41.784318968,-87.7415926253
706,Dr Martin L King Jr,75th,79th,41.7584052178,-87.6152627045,41.751121301,-87.6151773651
569,Cicero,51st,47th,41.8003400449,-87.7428033166,41.8076266165,-87.7429589865
71,Pulaski,55th,59th,41.793207314,-87.7234089919,41.7859394995,-87.7232114423
100,Ashland,87th,83rd,41.7357887154,-87.6628819511,41.7430756949,-87.6630683582
16,55th,Laramie,Central,41.79302504,-87.75250618,41.7928797,-87.76223503
233,Roosevelt,Pulaski,Kostner,41.8663093356,-87.7251691897,41.866170101,-87.7349634658
1272,Madison,Racine,Halsted,41.881515,-87.657142,41.881676,-87.647361
903,Michigan,16th,Roosevelt,41.860205,-87.62377822,41.86745208,-87.62392868
325,North,Laramie,Cicero,41.9093640671,-87.7557968589,41.9094885759,-87.7461157058
41,Pulaski,Roosevelt,Van Buren,41.8661711575,-87.7249869344,41.8752753838,-87.7253813295
91,Pulaski,Milwaukee,Diversey,41.9411707218,-87.72749796560001,41.9317932724,-87.72722993800001
